district_id,week_tir,place4,place2,district,name,region,business_type
117,0,117,1,sarsabz,Ù…Ø¯Ø§Ø¦Ù†,8,3
117,1,117,1,sarsabz,Ù…Ø¯Ø§Ø¦Ù†,8,3
117,2,117,1,sarsabz,Ù…Ø¯Ø§Ø¦Ù†,8,3
291,0,291,1,farah-abad,Ø§Ø¦Ù…Ù‡ Ø§Ø·Ù‡Ø§Ø±,14,3
291,1,291,1,farah-abad,Ø§Ø¦Ù…Ù‡ Ø§Ø·Ù‡Ø§Ø±,14,3
291,2,291,1,farah-abad,Ø§Ø¦Ù…Ù‡ Ø§Ø·Ù‡Ø§Ø±,14,3
1019,0,1019,1,atabak,Ø§ØªØ§Ø¨Ú©,15,3
1019,1,1019,1,atabak,Ø§ØªØ§Ø¨Ú©,15,3
1019,2,1019,1,atabak,Ø§ØªØ§Ø¨Ú©,15,3
121,0,121,1,hakimiyeh,Ø­Ú©ÛŒÙ…ÛŒÙ‡,4,3
121,1,121,1,hakimiyeh,Ø­Ú©ÛŒÙ…ÛŒÙ‡,4,3
121,2,121,1,hakimiyeh,Ø­Ú©ÛŒÙ…ÛŒÙ‡,4,3
46,0,46,1,golab-dareh,Ú¯Ù„Ø§Ø¨ Ø¯Ø±Ù‡,1,3
46,1,46,1,golab-dareh,Ú¯Ù„Ø§Ø¨ Ø¯Ø±Ù‡,1,3
